customer_address_id,street,city,state,zipcode,country,latitude,longitude
1,1 Bright Manor,Caguas,PR,725.0,Puerto Rico,18.29048157,-66.37062073
2,1 Crystal Gate,Caguas,PR,725.0,Puerto Rico,18.22611809,-66.37055969
3,1 Crystal Gate,Caguas,PR,725.0,Puerto Rico,18.23824883,-66.37052918
4,1 Crystal Gate,Sheboygan,WI,53081.0,EE. UU.,43.75511169,-87.71308136
5,1 Foggy Freeway,Rego Park,NY,11374.0,EE. UU.,40.84946823,-73.0977478
6,10 Crystal River Mall,Caguas,PR,725.0,Puerto Rico,18.22962761,-66.03705597
7,10 Crystal River Mall,Caguas,PR,725.0,Puerto Rico,18.2317276,-66.37062836
8,10 Crystal River Mall ,Caguas,PR,725.0,Puerto Rico,18.2658062,-66.37055969
9,10 Crystal River Mall ,Caguas,PR,725.0,Puerto Rico,18.35910416,-66.07791138
10,10 Crystal River Mall ,Washington,DC,20020.0,EE. UU.,39.0843544,-77.15294647
11,10 Pleasant Prairie Link,Caguas,PR,725.0,Puerto Rico,18.24868965,-66.37050629
12,10 Pleasant Prairie Link,Wilkes Barre,PA,18702.0,EE. UU.,41.24243164,-75.8779068
13,10 Pleasant Prairie Link,Wyoming,MI,49509.0,EE. UU.,42.90983582,-85.68525696
14,10 Tawny Brook Canyon,Brentwood,NY,11717.0,EE. UU.,40.78289795,-73.24446106
15,10 Tawny Brook Canyon,Caguas,PR,725.0,Puerto Rico,18.28265572,-66.37059021
16,100 Clear Forest Highway,Caguas,PR,725.0,Puerto Rico,18.21486473,-66.37058258
17,100 Clear Forest Highway,Los Angeles,CA,90047.0,EE. UU.,34.05158997,-118.2422943
18,100 Jagged Cloud Pathway,Caguas,PR,725.0,Puerto Rico,18.24692345,-66.37057495
19,100 Jagged Cloud Pathway,Long Beach,CA,90805.0,EE. UU.,33.76839829,-118.1887589
20,100 Pleasant Rabbit Hill,Lancaster,SC,29720.0,EE. UU.,34.72217178,-80.76907349
21,1010 Rustic Fox View,Azusa,CA,91702.0,EE. UU.,34.13932037,-117.9074402
22,1010 Rustic Fox View,Caguas,PR,725.0,Puerto Rico,18.2256279,-66.04582214
23,1010 Rustic Fox View,Caguas,PR,725.0,Puerto Rico,18.24729538,-66.0370636
24,1010 Rustic Fox View,Caguas,PR,725.0,Puerto Rico,18.26872826,-66.03705597
25,1010 Rustic Fox View,Mchenry,IL,60050.0,EE. UU.,42.31463623,-88.27697754
26,1011 Heather Lagoon Falls,Brandon,FL,33511.0,EE. UU.,27.93759728,-82.2674942
